year,city,country,local_temp,global_temp,7-Year MA (local),7-Year MA (global)
1750,Vienna,Austria,8.86,8.72,,
1751,Vienna,Austria,9.03,7.98,,
1752,Vienna,Austria,3.42,5.78,,
1753,Vienna,Austria,7.91,8.39,,
1754,Vienna,Austria,7.73,8.47,,
1755,Vienna,Austria,7.53,8.36,,
1756,Vienna,Austria,8.51,8.85,7.57,8.08
1757,Vienna,Austria,8.14,9.02,7.47,8.12
1758,Vienna,Austria,7.13,6.74,7.20,7.94
1759,Vienna,Austria,8.09,7.99,7.86,8.26
1760,Vienna,Austria,7.99,7.19,7.87,8.09
1761,Vienna,Austria,8.46,8.77,7.98,8.13
1762,Vienna,Austria,7.89,8.61,8.03,8.17
1763,Vienna,Austria,7.58,7.5,7.90,7.97
1764,Vienna,Austria,8.24,8.4,7.91,7.89
1765,Vienna,Austria,7.95,8.25,8.03,8.10
1766,Vienna,Austria,7.9,8.41,8.00,8.16
1767,Vienna,Austria,7.32,8.22,7.91,8.31
1768,Vienna,Austria,6.82,6.78,7.67,8.02
1769,Vienna,Austria,7.67,7.69,7.64,7.89
1770,Vienna,Austria,7.69,7.69,7.66,7.92
1771,Vienna,Austria,6.97,7.85,7.47,7.84
1772,Vienna,Austria,8.9,8.19,7.61,7.83
1773,Vienna,Austria,8.48,8.22,7.69,7.81
1774,Vienna,Austria,8.04,8.77,7.80,7.88
1775,Vienna,Austria,8.96,9.18,8.10,8.23
1776,Vienna,Austria,7.45,8.3,8.07,8.31
1777,Vienna,Austria,7.66,8.26,8.07,8.40
1778,Vienna,Austria,9,8.54,8.36,8.49
1779,Vienna,Austria,9.2,8.98,8.40,8.61
1780,Vienna,Austria,7.64,9.43,8.28,8.78
1781,Vienna,Austria,8.9,8.1,8.40,8.68
1782,Vienna,Austria,7.64,7.9,8.21,8.50
1783,Vienna,Austria,8.72,7.68,8.39,8.41
1784,Vienna,Austria,7.18,7.86,8.33,8.36
1785,Vienna,Austria,6.59,7.36,7.98,8.19
1786,Vienna,Austria,6.85,8.26,7.65,8.08
1787,Vienna,Austria,8.26,8.03,7.73,7.88
1788,Vienna,Austria,7.63,8.45,7.55,7.93
1789,Vienna,Austria,8.27,8.33,7.64,8.00
1790,Vienna,Austria,8.32,7.98,7.59,8.04
1791,Vienna,Austria,8.89,8.23,7.83,8.09
1792,Vienna,Austria,7.99,8.09,8.03,8.20
1793,Vienna,Austria,8.14,8.23,8.21,8.19
1794,Vienna,Austria,9.16,8.53,8.34,8.26
1795,Vienna,Austria,7.91,8.35,8.38,8.25
1796,Vienna,Austria,8.07,8.27,8.35,8.24
1797,Vienna,Austria,9.49,8.51,8.52,8.32
1798,Vienna,Austria,8.41,8.67,8.45,8.38
1799,Vienna,Austria,6.3,8.51,8.21,8.44
1800,Vienna,Austria,8.17,8.48,8.22,8.47
1801,Vienna,Austria,8.99,8.59,8.19,8.48
1802,Vienna,Austria,8.71,8.58,8.31,8.52
1803,Vienna,Austria,7.23,8.5,8.19,8.55
1804,Vienna,Austria,7.5,8.84,7.90,8.60
1805,Vienna,Austria,6.26,8.56,7.59,8.58
1806,Vienna,Austria,8.93,8.43,7.97,8.57
1807,Vienna,Austria,8.75,8.28,8.05,8.54
1808,Vienna,Austria,7.14,7.63,7.79,8.40
